Identifier,Remarks,id,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de
,Translation File for FURDOOM by Korp,,,,,
,Enemies,,,,,
TAG_CYBERGOAT,,,,,,
TAG_CYBERMOMMA,,,,,,
TAG_BARONOFHELL,,,,,,
TAG_KITTY,,,,,,
TAG_HYPNOFOX,,,,,,
TAG_KOBOLD,,,,,,
TAG_KOBOLDPHANTOM,,,,,,
TAG_FLAMESQUIRREL,,,,,,
TAG_CACOAVIAN,,,,,,
,Obituary,,,,,
OBITUARY_CYBERGOAT,,%o telah diduarkan oleh Cyber Goat.,,,,
OBITUARY_SPIDERMOMMA,,%o telah digosok habis oleh Spider-Fennec.,,,,
OBITUARY_BARONOFHELL,,%o dijotos oleh seorang Bruisser Goat.,,,,
OBITUARY_HIT_BARONOFHELL,,Bokongnya %o ditampar sampai merah oleh seorang Bruisser Goat.,,,,
OBITUARY_KITTY,,%o dijadikan Sate Kelinci oleh seorang kitty.,,,,
OBITUARY_HIT_KITTY,,%o memohon seorang kitty dengan sopan buat garuk belakangnya.,,,,
OBITUARY_HYPNOFOX,,%o tertembak oleh Hypnotized Fox.,,,,
OBITUARY_HYPNODOG,,%o tertembak oleh Hypnotized Dog.,,,,
OBITUARY_KOBOLD,,bokongnya %o telah dilahap habis oleh seorang kobold,,,,
OBITUARY_KOBOLDPHANTOM,,bokongnya %o telah dilahap diam2 oleh seorang kobold,,,,
OBITUARY_FLAMESQUIRREL,,%o diseruduk oleh seorang Flame Squirrel.,,,,
OBITUARY_CACOAVIAN,,selangkangan %o dibuat babak belur oleh seorang Cacoavian.,,,,
,Skill,,,,,
S_BABY,,Mungkin cium sekali aja,,,,
S_EASY,,Pelukan tidak cukup,,,,
S_NORMAL,,Lagi mood nih,,,,
S_HARD,,Musim Kawin,,,,
S_VERYHARD,,Ultra-Violence+,,,,
S_NIGHTMARE,,Hamili Aku!,,,,
S_NIGHTMARE_WARNING,,lu ntar jeger loh!,,,,
,Option Menu,,,,,
OPTMNU_CONTROLS,,,,,,
OPTMNU_MOUSE,,,,,,
OPTMNU_JOYSTICK,,,,,,
OPT_NORELOAD,,Tanpa Reload,,,,
OPT_FORCERELOAD,,Paksa Reload,,,,
OPT_HEALTHBARICON,,Ikon Health Bar,,,,
OPT_HEALTHBARSHOW,,Tunjukan Health Bar,,,,
OPT_HEALTHBARSHOW_OFF,,Nonaktif,,,,
OPT_HEALTHBARSHOW_BOSS,,Hanya Boss,,,,
OPT_HEALTHBARSHOW_EVERY,,Semua Musuh/Pemain,,,,
OPT_SAFEZONEX,,Safezone HUD Horizontal (GZ),,,,
OPT_SAFEZONEY,,Safezone HUD Vertikal (GZ),,,,
OPT_FORCEENGINE,,Anggap Enginenya,,,,
OPT_PICKUPANIM,,Animasi Ambil,,,,
,New Game,,,,,
FMNU_CHOOSESKILL,,Pilih Mood Anda,,,,
FMNU_NEWGAME,,-= PERMAINAN BARU =-,,,,
MNU_FUROPTIONS,,Pengaturan FurDOOM,,,,
,Tag,,,,,
TAG_BONKERBAT,,,,,,
TAG_PISTOL,,,,,,
TAG_SHOTGUN,,,,,,
TAG_SUPERSHOTTY,,,,,,
TAG_MINIGUN,,,,,,
TAG_GOOLAUNCHER,,,,,,
TAG_STEAMSPITTER,,,,,,
TAG_BUTTGUN,,,,,,
,Pickup,,,,,
PICKUP_BONKERBAT,,Dapat Bonker Bat,,,,
PICKUP_PISTOL,,Dapat Pistol,,,,
PICKUP_SHOTGUN,,Dapat Shotgun,,,,
PICKUP_SUPERSHOTTY,,Dapat Super Shotty,,,,
PICKUP_MINIGUN,,Dapat Minigun,,,,
PICKUP_GOOLAUNCHER,,Dapat Goo Launcher,,,,
PICKUP_STEAMSPITTER,,Dapat Steam Spitter,,,,
PICKUP_BUTTGUN,,Dapat Butt Gun,,,,
